SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;DS_GENERO;DS_COR_RACA;ST_REELEICAO
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001609586;44666;ANTONIO ARAMONI;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001645381;11022;SARGENTO VIANA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;VICE-GOVERNADOR;120001606194;50;ILMO CANDIDO DE OLIVEIRA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;SENADOR;120001609096;444;MANDETTA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001615768;19111;CORONEL GAUTO;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001645383;11123;LONDRES MACHADO;DEFERIDO;MASCULINO;BRANCA;S
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001718590;9064;CAPITÃO AIRTON;DEFERIDO;MASCULINO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001675472;1477;DR ERNEY BARBOSA;INDEFERIDO COM RECURSO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001615738;2727;WANDERLEIA FERREIRA;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001652595;1331;VANDER LOUBET;DEFERIDO;MASCULINO;BRANCA;S
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001648881;90123;LUCIANO KERSTING GUGU;INDEFERIDO;NÃO DIVULGÁVEL;NÃO DIVULGÁVEL;Não divulgável
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651179;51888;LU MARTINS;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001597643;18333;EZEQUIAS ASSIS;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001615779;19800;MAURICIO CORRÊA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001648882;90000;CLAYTON SIQUEIRA;RENÚNCIA;NÃO DIVULGÁVEL;NÃO DIVULGÁVEL;Não divulgável
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001646499;28026;MARILZA BARCELOS;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001597624;50367;VALERIA-COLETIVO DE MULHERES ;DEFERIDO;FEMININO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001613594;45463;LUIZ CARLOS;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001615765;19999;NINHO;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;GOVERNADOR;120001714229;28;CAPITÃO CONTAR;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001614730;22777;DAVI RIBEIRO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001615138;10717;ANDERSON GUIA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651183;51067;THULIO MAX;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;SENADOR;120001651640;111;TEREZA CRISTINA;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001614255;2244;DELEGADO WELLINGTON;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001606651;12911;PAULO RIBEIRO DA SWAT;DEFERIDO;MASCULINO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001643165;15144;GENERAL ADALBERTO MUNIZ;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;SENADOR;120001596896;500;ANIZIO TOCCHIO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001650945;55555;PROFESSORA ELZA FERNANDES;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001606660;12067;JEAN FERREIRA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001728627;11100;PEDRO MESSIAS;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001600670;7777;DENIS PEREIRA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001636652;1555;CARLOS BERNARDO;INDEFERIDO COM RECURSO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001609597;44022;DAVID VINCENSI;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;2º SUPLENTE;120001651638;111;PAULO SALOMÃO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001650949;55789;ROGÉRIO ROHR;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;GOVERNADOR;120001646278;15;ANDRÉ PUCCINELLI;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001672856;70456;JU DO JD. PANTANAL;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001717695;90033;EMMILIM BLACK;DEFERIDO;FEMININO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001613602;45888;FERNANDO NANTES;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001649121;9077;EDSON FIDELIS;RENÚNCIA;NÃO DIVULGÁVEL;NÃO DIVULGÁVEL;Não divulgável
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001613591;45321;MARINHO DA ACOMAC;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651381;14128;PAULO CESAR O NOVO;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001598650;40190;CORONEL ROGÉRIO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001612042;36147;TERRINHA DA GARAGEM ;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001636656;1510;LAUDIR MUNARETTO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001614720;22067;ROSANE MAZETTO;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001613590;45121;ZÉ TEIXEIRA;DEFERIDO;MASCULINO;BRANCA;S
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001600675;7788;MARY FABRO;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001614726;22555;EMERSON SAPO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651382;14357;IDEALES SEBEN;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;VICE-GOVERNADOR;120001674597;29;CARLOS MARTINS ;INDEFERIDO COM RECURSO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001606597;1201;JORGE RODRIGUES;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001650956;55190;CHINA;DEFERIDO;MASCULINO;AMARELA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001718589;9000;RAUNI GUIMARÃES;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001618547;77456;DR. DAVID OLINDO;INDEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001598324;3030;DR. GUSTAVO DE LARA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001606598;1212;ROBERTO MATEUS;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001643161;15200;TOSHIO SAKAI;DEFERIDO;MASCULINO;AMARELA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001646519;28007;MARCON;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651182;51555;SALIN;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001650962;55000;PEDROSSIAN NETO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651363;14102;BAKANA RADIALISTA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001606665;12180;LUARA DO AXÉ;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001612320;4500;BIA CAVASSA;DEFERIDO;FEMININO;BRANCA;S
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001598646;40777;ESTÉLVIO MICHALSKI;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001597630;18888;ARTHUR KOGA;DEFERIDO;MASCULINO;AMARELA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001650959;55250;DIOMAR CAIUA;DEFERIDO;MASCULINO;INDÍGENA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001606669;12345;ENELVO FELINI;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001598296;5005;FERNANDO DA ROTA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001645934;1145;LU AZAMBUJA;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001598639;40123;GILMAR GARCIA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001650738;5577;MARLUCE BUENO;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001606595;1277;ALCEU SOARES NETO;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001615770;19888;CHITÃO;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001723440;5533;ADAILTON LIMA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001650954;55222;MURILO MATOS;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001606658;12500;SABRINO CARPES MARADONA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001611825;3636;DANIELZINHO;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001609590;44100;SARGENTO GLEICE KELLY;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651375;14121;ELDA PEREIRA;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001672864;70000;ROQUE VIEIRA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651194;51444;GILSON DA GS;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;2º SUPLENTE;120001596894;500;DIANA SHEILA;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001646517;28787;ENFERMEIRA SUMAIRA;INDEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001596061;4088;PATRÍCIA PALMIERI;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001643173;15222;DR FLAVIO BARBOSA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001609238;4422;DR FLAVIO RENATO;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001609242;4445;MARCELO MIGLIOLI;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;2º SUPLENTE;120001652249;133;BRUNO MIGUEIS;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001621509;2808;ARILSON ARANDA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001612043;36666;PROFESSOR LEO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;1º SUPLENTE;120001651639;111;TENENTE PORTELA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001621511;2800;DR SGT EVALDO CHAVES;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001613609;45045;CARAVINA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001645385;11233;PA BAMBU;DEFERIDO;MASCULINO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001606599;1200;LUIS BRIZOLA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001611827;3655;SENNA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001652321;13222;PROFESSORA BARTÔ;DEFERIDO;FEMININO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001652332;13031;SANDRO FANTINI CHAPA COLETIVA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001597638;18000;URIAS ROCHA BR;INDEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001596063;4011;MAURICIO LEMES;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001615739;2777;ANTONIO CARLOS;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;GOVERNADOR;120001596872;50;ADONIS MARCOS;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001636660;1590;CORONEL KATIA;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001615740;2700;ROBERTO PATZLAFF;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001611824;3633;CAMILA MARTINS;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001609245;4454;GIOVANA SBARAINI;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001613601;45007;NEI SALVIANO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;1º SUPLENTE;120001611533;368;JOSE ALVES;INDEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001615772;19033;FRED;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001597641;50345;VERINO MINEIRO;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001615775;19001;BOSCO MARTINS;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001717692;90909;FELIPE TEBET;INDEFERIDO COM RECURSO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001650740;5588;LÉO MATOS;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001618545;77123;CEZAR NOGUEIRA DA SEIKO;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001652587;4323;ANA DOMINGUES;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001718586;9022;JERUSA BOLSONARO;RENÚNCIA;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001618544;77500;DEJAIR SOARES;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001612045;36123;MARCAO DE TODOS;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001646511;28067;RACIB HARB;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001618554;77015;FERNANDA LIMA;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001643160;15333;DRA MARIA JOSÉ;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001652331;13777;GLEICE JANE;DEFERIDO;FEMININO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001614252;2210;TIO TRUTIS;DEFERIDO;MASCULINO;PARDA;S
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001676316;2929;THIAGO ASSAD;INDEFERIDO COM RECURSO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001606668;12303;PROF DAVID MARQUES;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001643174;15377;PROFESSORA LEILA;DEFERIDO;FEMININO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001650733;5566;CHICÃO VIANNA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001672863;70211;ADEMILSON TREME TREME;DEFERIDO;MASCULINO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001615140;10431;EDNA BENTO;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001718592;9077;EDSON FIDELIS;RENÚNCIA;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001672603;7044;DÉBORA MONTANIA;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651372;14780;VANESSA NUNES;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651380;14204;RONALDO AMARAL;INDEFERIDO COM RECURSO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001636658;1522;DR ANTÔNIO CRUZ;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001675473;1450;NILSON DA MARMORARIA;DEFERIDO;MASCULINO;PRETA;N
MS;MATO GROSSO DO SUL;GOVERNADOR;120001652149;13;GISELLE;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001675470;1417;DAVID MENDES ;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651191;51212;VANDRÉ NUNES;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001618541;77678;ERIC FOSSATI;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001652319;13007;HUMBERTO AMADUCCI;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001598648;40231;ELIETH LOPES;DEFERIDO;FEMININO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001645378;11777;JORGINHO FIGUEIREDO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001717694;90013;LUZIA PEREIRA;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001618542;77999;IDEVALDO CLAUDINO ;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001636653;1500;LOURDES MONTEIRO;DEFERIDO;FEMININO;BRANCA;N
